order_id,order_date,store_id,store_region,product_sku,product_category,product_name,quantity,unit_price,discount_pct,channel,updated_at
ORD-00135413,2024-09-02,138,,SKU-00017,  PLUMBING  ,1/2 in. PVC Pipe 10 ft.,4.0,4.83,11.0,pro_desk,2024-09-10
ORD-00104587,2024-12-15,119,Midwest,SKU-00036,Hardware,Deck Screws 5 lb.,10.0,38.31,4.0,IN-STORE,2024-12-24
ORD-00139261,2023-11-20,119,Southwest,SKU-00015,Lumber,1x6 Cedar Board,7.0,8.64,3.0,IN-STORE,2023-11-29
ORD-00140547,2023-06-06,139,,SKU-00012,Lumber,2x4x8 Prime Stud,2.0,3.91,1.0,Online,2023-06-12
ORD-00108833,2023-05-09,144,West,SKU-00033,Flooring,Ceramic Tile 12x12 (per box),4.0,29.08,15.0,Online,2023-05-14
ORD-00117809,2023-04-27,105, southeast ,SKU-00041,Garden,Potting Soil 2 cu. ft.,2.0,13.91,22.0,in store,2023-05-19
ORD-00136545,2023-07-08,147,southeast,SKU-00016, lumber,Pressure-Treated 4x4x8,3.0,13.61,2.0,web,2023-08-05
ORD-00101423,2024-12-27,128, southeast ,SKU-00016, Lumber,Pressure-Treated 4x4x8,1.0,13.21,2.0,prodesk,2025-01-08
ORD-00116543,2023-07-12,137,West,SKU-00039,Hardware, Drywall Anchors (50-ct),10.0,6.73,5.0,ONLINE,2023-08-05
ORD-00141283,2024-12-14,101,South West,SKU-00000,Power Tools,20V Cordless Drill/Driver,7.0,97.94,4.0,In-Store,2025-01-10
ORD-00141847,2023-01-09,120,SE,SKU-00008,  Hand Tools  , Screwdriver Set (10-pc)  ,7.0,24.37,16.0,instore,2023-02-06
ORD-00129874,2024-09-25,102,SE,SKU-00008,Hand Tools,Screwdriver Set (10-pc),7.0,25.94,4.0,in_store,2024-10-11
ORD-00118716,2024-03-27,105,NE,SKU-00046,Appliances , 40 gal. electric water heater ,7.0,530.33,25.0,pro_desk,2024-04-05
ORD-00113777,2024-09-22,105,MW,SKU-00037,Hardware,Wood Glue 16 oz.,12.0,7.81,2.0,prodesk,2024-10-08
ORD-00142367,2024-06-28,147,Mid West,SKU-00006, HAND TOOLS,16 oz. Claw Hammer,3.0,13.85,1.0,web,2024-07-25
ORD-00104126,2023-01-03,123,southeast,SKU-00035,Flooring,Foam Underlayment Roll,12.0,28.74,6.0,in store,2023-01-08
ORD-00136586,2024-08-07,136,South West,SKU-00028,Paint,Bonding Primer 1 gal.,5.0,22.96,25.0,in store,2024-08-08
ORD-00106380,2024-06-29,136,South West,SKU-00027,Paint,Interior Latex Paint 1 gal.,4.0,35.42,17.0,in store,2024-07-26
ORD-00107159,2024-05-20,117,Southeast,SKU-00040,hardware ,Cabinet Knobs (10-pk),7.0,20.57,4.0,Online,2024-06-06
ORD-00117448,2024-12-23,138,SE,SKU-00028, PAINT ,Bonding Primer 1 gal.,7.0,18.77,4.0,In-Store,2024-12-27
ORD-00106621,2023-06-09,104,Midwest,SKU-00020,Plumbing,P-Trap Kit,6.0,9.27,8.0,IN-STORE,2023-07-07
ORD-00100168,2024-11-10,109,MW,SKU-00036, Hardware,Deck Screws 5 lb.,4.0,37.49,14.0,In-Store,2024-11-21
ORD-00105681,2024-08-05,137,Northeast,SKU-00000,  power tools  , 20V Cordless Drill/Driver ,11.0,102.48,4.0,In-Store,2024-08-08
ORD-00120106,2023-12-28,120,west,SKU-00047, Appliances ,52 in. Ceiling Fan,5.0,112.46,28.0,In-Store,2024-01-25
ORD-00130247,2023-08-27,127,South East,SKU-00027,PAINT,  Interior Latex Paint 1 gal.,9.0,32.69,5.0,prodesk,2023-09-01
ORD-00118019,2024-06-16,121,west,SKU-00049, Appliances,1.6 cu. ft. Microwave,11.0,136.42,11.0,In-Store,2024-07-07
ORD-00103669,2024-04-02,107,South East,SKU-00005,Power Tools,Compact Reciprocating Saw,2.0,119.05,4.0,instore,2024-04-05
